priority_score,manifest_id,provider,accession,access_state,gold_candidate_source_count,source_count,target_modality_hints,download_policy,raw_download_status
171,dataset:a959fb7a3fc456fe,BioProject,PRJNA510443,unavailable,1,1,afm;flow_cytometry;immunofluorescence;omics;pcr;sequencing;western_blot,metadata_then_manual_file_selection,not_attempted
171,dataset:24ae1ac517e31622,BioProject,PRJNA526256,unavailable,1,1,afm;flow_cytometry;immunofluorescence;omics;pcr;sequencing;western_blot,metadata_then_manual_file_selection,not_attempted
171,dataset:9d71aabcbf2fa050,GEO,GSE158017,public_metadata_unresolved,1,1,afm;flow_cytometry;immunofluorescence;omics;pcr;traction_force_microscopy;western_blot,metadata_then_manual_file_selection,not_attempted
171,dataset:e89ee5e401ee7c1e,GEO,GSE21501,public_metadata_unresolved,1,1,afm;flow_cytometry;immunofluorescence;omics;pcr;traction_force_microscopy;western_blot,metadata_then_manual_file_selection,not_attempted
171,dataset:c898017980214269,GEO,GSE82244,public_metadata_unresolved,1,1,afm;immunofluorescence;omics;pcr;piv;traction_force_microscopy;western_blot,metadata_then_manual_file_selection,not_attempted
171,dataset:c2c7d2cd494dd6c9,SRA,SRX32869140,public_metadata_resolved,1,1,afm;flow_cytometry;immunofluorescence;omics;pcr;sequencing;western_blot,metadata_then_manual_file_selection,not_attempted
161,dataset:a30c38e01380a5e9,ArrayExpress,E-MTAB-2323,public_metadata_resolved,1,1,afm;flow_cytometry;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
161,dataset:9680fb5eee695ec1,BioProject,PRJNA663028,unavailable,1,1,afm;immunofluorescence;omics;pcr;sequencing;western_blot,metadata_then_manual_file_selection,not_attempted
161,dataset:5675ec0da0d53a8b,BioProject,PRJNA663448,unavailable,1,1,afm;immunofluorescence;omics;pcr;sequencing;western_blot,metadata_then_manual_file_selection,not_attempted
161,dataset:588464ca47779649,BioProject,PRJNA663587,unavailable,1,1,afm;immunofluorescence;omics;pcr;sequencing;western_blot,metadata_then_manual_file_selection,not_attempted
161,dataset:d96d03567c853779,BioProject,PRJNA699369,unavailable,1,1,flow_cytometry;immunofluorescence;omics;pcr;sequencing;western_blot,metadata_then_manual_file_selection,not_attempted
161,dataset:6568233d2cd6d3ab,BioProject,PRJNA775657,unavailable,1,1,afm;immunofluorescence;omics;pcr;sequencing;western_blot,metadata_then_manual_file_selection,not_attempted
161,dataset:0cfcaebc5506ef4e,BioProject,PRJNA775661,unavailable,1,1,afm;immunofluorescence;omics;pcr;sequencing;western_blot,metadata_then_manual_file_selection,not_attempted
161,dataset:c59dc54391acbeeb,GEO,GSE101993,public_metadata_resolved,1,1,afm;immunofluorescence;omics;pcr;piv;western_blot,metadata_then_manual_file_selection,not_attempted
161,dataset:4ac4ed10ad973440,GEO,GSE107637,public_metadata_resolved,1,1,afm;immunofluorescence;omics;pcr;piv;western_blot,metadata_then_manual_file_selection,not_attempted
161,dataset:cdde97a6fb849f4e,GEO,GSE109821,public_metadata_resolved,1,1,afm;immunofluorescence;omics;pcr;piv;western_blot,metadata_then_manual_file_selection,not_attempted
161,dataset:60d0e141bc5ebf0d,GEO,GSE113185,public_metadata_resolved,1,1,afm;immunofluorescence;omics;pcr;piv;western_blot,metadata_then_manual_file_selection,not_attempted
161,dataset:c34e8eb9dfe12c87,GEO,GSE113493,public_metadata_resolved,1,1,afm;immunofluorescence;omics;pcr;piv;western_blot,metadata_then_manual_file_selection,not_attempted
161,dataset:0647561e5ad299e8,GEO,GSE123631,public_metadata_resolved,1,1,afm;immunofluorescence;omics;pcr;piv;western_blot,metadata_then_manual_file_selection,not_attempted
161,dataset:8d880ef293179f04,GEO,GSE123769,public_metadata_resolved,1,1,afm;immunofluorescence;omics;pcr;piv;western_blot,metadata_then_manual_file_selection,not_attempted
