selection_rank,source_family_id,annotator_slot,assignment_status
1,doi:10.1002/adhm.202500914,A,unassigned
1,doi:10.1002/adhm.202500914,B,unassigned
2,doi:10.1002/advs.202511538,A,unassigned
2,doi:10.1002/advs.202511538,B,unassigned
3,doi:10.1016/j.bpj.2020.01.048,A,unassigned
3,doi:10.1016/j.bpj.2020.01.048,B,unassigned
4,doi:10.1016/j.celrep.2013.10.040,A,unassigned
4,doi:10.1016/j.celrep.2013.10.040,B,unassigned
5,doi:10.1016/j.isci.2021.103061,A,unassigned
5,doi:10.1016/j.isci.2021.103061,B,unassigned
6,doi:10.1016/j.mbm.2025.100117,A,unassigned
6,doi:10.1016/j.mbm.2025.100117,B,unassigned
7,doi:10.1016/j.stemcr.2015.10.017,A,unassigned
7,doi:10.1016/j.stemcr.2015.10.017,B,unassigned
8,doi:10.1038/s41419-019-1397-4,A,unassigned
8,doi:10.1038/s41419-019-1397-4,B,unassigned
9,doi:10.1038/s41467-026-70052-8,A,unassigned
9,doi:10.1038/s41467-026-70052-8,B,unassigned
10,doi:10.1038/s41598-019-51024-z,A,unassigned
10,doi:10.1038/s41598-019-51024-z,B,unassigned
11,doi:10.1038/srep28805,A,unassigned
11,doi:10.1038/srep28805,B,unassigned
12,doi:10.1038/srep33751,A,unassigned
12,doi:10.1038/srep33751,B,unassigned
13,doi:10.1088/1758-5090/ae2cf2,A,unassigned
13,doi:10.1088/1758-5090/ae2cf2,B,unassigned
14,doi:10.1126/sciadv.ady8382,A,unassigned
14,doi:10.1126/sciadv.ady8382,B,unassigned
15,doi:10.1371/journal.pone.0035058,A,unassigned
15,doi:10.1371/journal.pone.0035058,B,unassigned
16,doi:10.1371/journal.pone.0037178,A,unassigned
16,doi:10.1371/journal.pone.0037178,B,unassigned
17,doi:10.1371/journal.pone.0048332,A,unassigned
17,doi:10.1371/journal.pone.0048332,B,unassigned
18,doi:10.1371/journal.pone.0074659,A,unassigned
18,doi:10.1371/journal.pone.0074659,B,unassigned
19,doi:10.1371/journal.pone.0079654,A,unassigned
19,doi:10.1371/journal.pone.0079654,B,unassigned
20,doi:10.1371/journal.pone.0130540,A,unassigned
20,doi:10.1371/journal.pone.0130540,B,unassigned
21,doi:10.1371/journal.pone.0181085,A,unassigned
21,doi:10.1371/journal.pone.0181085,B,unassigned
22,doi:10.3389/fcell.2026.1771078,A,unassigned
22,doi:10.3389/fcell.2026.1771078,B,unassigned
23,doi:10.3389/fncel.2015.00363,A,unassigned
23,doi:10.3389/fncel.2015.00363,B,unassigned
24,doi:10.3390/ijms22042198,A,unassigned
24,doi:10.3390/ijms22042198,B,unassigned
25,doi:10.7554/elife.45853,A,unassigned
25,doi:10.7554/elife.45853,B,unassigned
26,doi:10.7554/elife.63093,A,unassigned
26,doi:10.7554/elife.63093,B,unassigned
27,doi:10.1002/advs.202517631,A,unassigned
27,doi:10.1002/advs.202517631,B,unassigned
28,doi:10.1002/ctm2.70581,A,unassigned
28,doi:10.1002/ctm2.70581,B,unassigned
29,doi:10.1002/glia.70141,A,unassigned
29,doi:10.1002/glia.70141,B,unassigned
30,doi:10.1016/j.isci.2025.113775,A,unassigned
30,doi:10.1016/j.isci.2025.113775,B,unassigned
31,doi:10.1016/j.isci.2026.115495,A,unassigned
31,doi:10.1016/j.isci.2026.115495,B,unassigned
32,doi:10.1016/j.jhepr.2026.101789,A,unassigned
32,doi:10.1016/j.jhepr.2026.101789,B,unassigned
33,doi:10.1038/s41467-021-26236-5,A,unassigned
33,doi:10.1038/s41467-021-26236-5,B,unassigned
34,doi:10.1038/s41467-026-71471-3,A,unassigned
34,doi:10.1038/s41467-026-71471-3,B,unassigned
35,doi:10.1038/s41586-025-09770-w,A,unassigned
35,doi:10.1038/s41586-025-09770-w,B,unassigned
36,doi:10.1038/s41598-019-49009-z,A,unassigned
36,doi:10.1038/s41598-019-49009-z,B,unassigned
37,doi:10.1126/sciadv.1602883,A,unassigned
37,doi:10.1126/sciadv.1602883,B,unassigned
38,doi:10.1158/0008-5472.can-25-0766,A,unassigned
38,doi:10.1158/0008-5472.can-25-0766,B,unassigned
39,doi:10.1172/jci200260,A,unassigned
39,doi:10.1172/jci200260,B,unassigned
40,doi:10.1186/s12885-026-16100-4,A,unassigned
40,doi:10.1186/s12885-026-16100-4,B,unassigned
41,doi:10.1186/s12943-017-0599-6,A,unassigned
41,doi:10.1186/s12943-017-0599-6,B,unassigned
42,doi:10.1186/s12943-026-02617-6,A,unassigned
42,doi:10.1186/s12943-026-02617-6,B,unassigned
43,doi:10.1186/s12974-026-03827-x,A,unassigned
43,doi:10.1186/s12974-026-03827-x,B,unassigned
