assignment_id,source_family_id,slot,annotator_id,status
pilot:cec9e465c669dfc6,doi:10.1002/advs.202511538,A,,unassigned
pilot:41cffd64c36a602d,doi:10.1126/sciadv.ady8382,A,,unassigned
pilot:f61c1efba238fc16,doi:10.1371/journal.pone.0181085,A,,unassigned
pilot:9fea9f025937cf35,doi:10.7554/elife.45853,A,,unassigned
pilot:6a15703ef8d2ffd6,doi:10.1038/s41586-025-09770-w,A,,unassigned
pilot:5313fe28663c2316,doi:10.1186/s12943-017-0599-6,A,,unassigned
pilot:87d66a8ae0035fc3,doi:10.1371/journal.pone.0045877,A,,unassigned
pilot:e3c9423d2a5cdbb0,doi:10.3892/ijmm.2016.2542,A,,unassigned
pilot:6ada07a3534502ec,doi:10.1038/s41556-020-0546-4,A,,unassigned
pilot:07b9a5513f5e50f2,doi:10.1038/s41556-025-01807-6,A,,unassigned
pilot:e1d951490ac799fc,doi:10.1038/s44318-024-00309-9,A,,unassigned
pilot:6cebd337d01147e3,doi:10.1242/jcs.263938,A,,unassigned
pilot:9910ae31eb61b245,doi:10.15252/msb.202110505,A,,unassigned
pilot:f53524169c98847f,doi:10.1038/ncomms11642,A,,unassigned
pilot:9ab703725bff92a2,doi:10.1038/s41467-021-26296-7,A,,unassigned
pilot:2899b3ff666ef130,doi:10.1038/s41586-026-10398-7,A,,unassigned
pilot:0f491ac07a18ef4e,doi:10.1083/jcb.201906204,A,,unassigned
pilot:5a03965be5b8a44f,doi:10.1016/j.cell.2017.07.038,A,,unassigned
pilot:dfd6e38e7a60564d,doi:10.1016/j.stem.2018.09.008,A,,unassigned
pilot:e2d15fbec7936c6a,doi:10.1038/ncb3492,A,,unassigned
pilot:16cf65fd303e1b02,doi:10.1038/s41586-018-0444-0,A,,unassigned
pilot:da06e5dc41941ee6,doi:10.1038/ncomms15206,A,,unassigned
pilot:114710b8c116aa22,doi:10.1038/s41467-018-06684-2,A,,unassigned
pilot:948a2cd11c3f6d33,doi:10.1113/jp272927,A,,unassigned
pilot:e6d66d68f7f1c050,doi:10.1161/atvbaha.123.320300,A,,unassigned
pilot:6d9d32aa05bd5970,doi:10.1038/bjc.2012.395,A,,unassigned
pilot:e451a7d69b0d2acd,doi:10.1038/s41467-019-12103-x,A,,unassigned
pilot:e6b2728a4deda41e,doi:10.1038/srep32418,A,,unassigned
pilot:451d69bf666c17d4,doi:10.1186/s13395-015-0030-1,A,,unassigned
pilot:2e48ca0e4e7cea35,doi:10.1371/journal.pone.0075997,A,,unassigned
pilot:72707d9bff125a92,doi:10.1002/advs.202516423,A,,unassigned
pilot:e1be4933d552758d,doi:10.1038/s41556-025-01773-z,A,,unassigned
pilot:dfda68c108765bde,doi:10.1038/s41563-025-02463-9,A,,unassigned
pilot:b064d2bb3cb7b860,doi:10.1038/s41563-025-02473-7,A,,unassigned
pilot:7c947be491fbbd50,doi:10.1002/advs.202502074,A,,unassigned
pilot:2c9f0000e93af7d4,doi:10.1038/ncb2859,A,,unassigned
pilot:cad2f7b7ace0c7fe,doi:10.1038/ncomms13119,A,,unassigned
pilot:400b83f61638c6a4,doi:10.1093/nar/gkt245,A,,unassigned
pilot:f24a0def9ed765d1,doi:10.1016/j.cell.2020.03.052,A,,unassigned
pilot:06f4cb368e1953dd,doi:10.1038/s41467-026-71194-5,A,,unassigned
pilot:7bad65a4e75a083f,doi:10.1038/s41556-025-01767-x,A,,unassigned
pilot:668059d629715da7,doi:10.1083/jcb.201902057,A,,unassigned
pilot:396638b8c1a1de31,doi:10.1002/advs.202413376,A,,unassigned
pilot:dd7cde683525f649,doi:10.1038/s41556-025-01820-9,A,,unassigned
pilot:8421813f54a3e803,doi:10.1073/pnas.2217019121,A,,unassigned
pilot:935b4a2548dd8f74,doi:10.1126/sciadv.ads6132,A,,unassigned
pilot:8576b6e1917e07d4,doi:10.1016/j.tox.2011.12.002,A,,unassigned
