journal,candidate_count,earliest_year,latest_year,metric_name,metric_value,metric_year,metric_source,verified_at,status
Scientific reports,41,2024,2026,JIF,,,,,pending_licensed_jcr_lookup
Biophysical journal,38,2023,2026,JIF,,,,,pending_licensed_jcr_lookup
Nature communications,37,2020,2026,JIF,,,,,pending_licensed_jcr_lookup
International journal of molecular sciences,23,2021,2026,JIF,,,,,pending_licensed_jcr_lookup
Acta biomaterialia,21,2023,2026,JIF,,,,,pending_licensed_jcr_lookup
"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",21,2024,2026,JIF,,,,,pending_licensed_jcr_lookup
Proceedings of the National Academy of Sciences of the United States of America,21,2023,2026,JIF,,,,,pending_licensed_jcr_lookup
PLoS computational biology,16,2021,2026,JIF,,,,,pending_licensed_jcr_lookup
Frontiers in cell and developmental biology,13,2021,2026,JIF,,,,,pending_licensed_jcr_lookup
Cell reports,12,2023,2026,JIF,,,,,pending_licensed_jcr_lookup
Molecular biology of the cell,12,2024,2026,JIF,,,,,pending_licensed_jcr_lookup
iScience,12,2023,2026,JIF,,,,,pending_licensed_jcr_lookup
Communications biology,11,2024,2026,JIF,,,,,pending_licensed_jcr_lookup
Journal of cell science,11,2025,2026,JIF,,,,,pending_licensed_jcr_lookup
Soft matter,11,2021,2026,JIF,,,,,pending_licensed_jcr_lookup
Science advances,10,2024,2026,JIF,,,,,pending_licensed_jcr_lookup
Cells,8,2024,2026,JIF,,,,,pending_licensed_jcr_lookup
"Methods in molecular biology (Clifton, N.J.)",8,2022,2026,JIF,,,,,pending_licensed_jcr_lookup
Physical review. E,8,2024,2026,JIF,,,,,pending_licensed_jcr_lookup
The Journal of cell biology,8,2026,2026,JIF,,,,,pending_licensed_jcr_lookup
ACS applied materials & interfaces,7,2022,2026,JIF,,,,,pending_licensed_jcr_lookup
Advanced healthcare materials,7,2026,2026,JIF,,,,,pending_licensed_jcr_lookup
Bio-protocol,7,2025,2026,JIF,,,,,pending_licensed_jcr_lookup
Cellular and molecular bioengineering,7,2024,2026,JIF,,,,,pending_licensed_jcr_lookup
Current biology : CB,7,2022,2026,JIF,,,,,pending_licensed_jcr_lookup
"Nucleus (Austin, Tex.)",7,2024,2026,JIF,,,,,pending_licensed_jcr_lookup
eLife,7,2022,2026,JIF,,,,,pending_licensed_jcr_lookup
Cold Spring Harbor perspectives in biology,6,2025,2026,JIF,,,,,pending_licensed_jcr_lookup
Investigative ophthalmology & visual science,6,2025,2026,JIF,,,,,pending_licensed_jcr_lookup
Nature cell biology,6,2021,2026,JIF,,,,,pending_licensed_jcr_lookup
Nature methods,6,2022,2026,JIF,,,,,pending_licensed_jcr_lookup
PloS one,6,2026,2026,JIF,,,,,pending_licensed_jcr_lookup
ACS nano,5,2024,2026,JIF,,,,,pending_licensed_jcr_lookup
APL bioengineering,5,2024,2026,JIF,,,,,pending_licensed_jcr_lookup
Biomechanics and modeling in mechanobiology,5,2023,2026,JIF,,,,,pending_licensed_jcr_lookup
Cell communication and signaling : CCS,5,2025,2026,JIF,,,,,pending_licensed_jcr_lookup
"Development (Cambridge, England)",5,2025,2026,JIF,,,,,pending_licensed_jcr_lookup
Developmental cell,5,2023,2026,JIF,,,,,pending_licensed_jcr_lookup
FASEB journal : official publication of the Federation of American Societies for Experimental Biology,5,2025,2026,JIF,,,,,pending_licensed_jcr_lookup
Frontiers in bioengineering and biotechnology,5,2025,2026,JIF,,,,,pending_licensed_jcr_lookup
Materials today. Bio,5,2024,2026,JIF,,,,,pending_licensed_jcr_lookup
Microscopy research and technique,5,2023,2026,JIF,,,,,pending_licensed_jcr_lookup
Molecular biology reports,5,2025,2026,JIF,,,,,pending_licensed_jcr_lookup
"Sensors (Basel, Switzerland)",5,2025,2026,JIF,,,,,pending_licensed_jcr_lookup
Ultrasonics,5,2026,2026,JIF,,,,,pending_licensed_jcr_lookup
BMC bioinformatics,4,2025,2026,JIF,,,,,pending_licensed_jcr_lookup
