journal,candidate_count,earliest_year,latest_year,metric_name,metric_value,metric_year,metric_source,verified_at,status
Scientific reports,51,2016,2019,JIF,,,,,pending_licensed_jcr_lookup
International journal of molecular sciences,28,2015,2019,JIF,,,,,pending_licensed_jcr_lookup
Stem cell research,21,2017,2019,JIF,,,,,pending_licensed_jcr_lookup
Nature communications,19,2017,2019,JIF,,,,,pending_licensed_jcr_lookup
Frontiers in immunology,18,2017,2019,JIF,,,,,pending_licensed_jcr_lookup
PloS one,17,2017,2019,JIF,,,,,pending_licensed_jcr_lookup
Journal of cellular physiology,16,2015,2019,JIF,,,,,pending_licensed_jcr_lookup
Cells,15,2018,2019,JIF,,,,,pending_licensed_jcr_lookup
Cell death & disease,14,2018,2019,JIF,,,,,pending_licensed_jcr_lookup
Journal of cellular and molecular medicine,12,2018,2019,JIF,,,,,pending_licensed_jcr_lookup
Journal of visualized experiments : JoVE,12,2016,2019,JIF,,,,,pending_licensed_jcr_lookup
Frontiers in physiology,11,2015,2019,JIF,,,,,pending_licensed_jcr_lookup
American journal of physiology. Lung cellular and molecular physiology,10,2015,2019,JIF,,,,,pending_licensed_jcr_lookup
Biochemical and biophysical research communications,10,2018,2019,JIF,,,,,pending_licensed_jcr_lookup
Oncology letters,10,2018,2019,JIF,,,,,pending_licensed_jcr_lookup
Experimental cell research,9,2018,2019,JIF,,,,,pending_licensed_jcr_lookup
FASEB journal : official publication of the Federation of American Societies for Experimental Biology,9,2018,2019,JIF,,,,,pending_licensed_jcr_lookup
Glia,9,2015,2019,JIF,,,,,pending_licensed_jcr_lookup
"Methods in molecular biology (Clifton, N.J.)",9,2018,2019,JIF,,,,,pending_licensed_jcr_lookup
Cancers,8,2019,2019,JIF,,,,,pending_licensed_jcr_lookup
Frontiers in cellular neuroscience,8,2017,2019,JIF,,,,,pending_licensed_jcr_lookup
Frontiers in oncology,8,2014,2019,JIF,,,,,pending_licensed_jcr_lookup
JCI insight,8,2017,2019,JIF,,,,,pending_licensed_jcr_lookup
Proceedings of the National Academy of Sciences of the United States of America,8,2016,2019,JIF,,,,,pending_licensed_jcr_lookup
Stem cells international,8,2018,2019,JIF,,,,,pending_licensed_jcr_lookup
Acta biomaterialia,7,2016,2019,JIF,,,,,pending_licensed_jcr_lookup
Acta neuropathologica communications,7,2014,2019,JIF,,,,,pending_licensed_jcr_lookup
BMC cancer,7,2018,2019,JIF,,,,,pending_licensed_jcr_lookup
Cell reports,7,2018,2019,JIF,,,,,pending_licensed_jcr_lookup
Frontiers in pharmacology,7,2019,2019,JIF,,,,,pending_licensed_jcr_lookup
Molecular medicine reports,7,2017,2019,JIF,,,,,pending_licensed_jcr_lookup
