journal,candidate_count,earliest_year,latest_year,metric_name,metric_value,metric_year,metric_source,verified_at,status
Stem cell research,47,2025,2026,JIF,,,,,pending_licensed_jcr_lookup
International journal of molecular sciences,38,2025,2026,JIF,,,,,pending_licensed_jcr_lookup
Nature communications,22,2025,2026,JIF,,,,,pending_licensed_jcr_lookup
Scientific reports,22,2025,2026,JIF,,,,,pending_licensed_jcr_lookup
Frontiers in immunology,19,2025,2026,JIF,,,,,pending_licensed_jcr_lookup
Cells,18,2025,2026,JIF,,,,,pending_licensed_jcr_lookup
"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",17,2024,2026,JIF,,,,,pending_licensed_jcr_lookup
iScience,16,2025,2026,JIF,,,,,pending_licensed_jcr_lookup
International immunopharmacology,12,2025,2026,JIF,,,,,pending_licensed_jcr_lookup
Science advances,12,2025,2026,JIF,,,,,pending_licensed_jcr_lookup
Experimental cell research,10,2026,2026,JIF,,,,,pending_licensed_jcr_lookup
Journal of translational medicine,10,2025,2026,JIF,,,,,pending_licensed_jcr_lookup
Cell death & disease,9,2025,2026,JIF,,,,,pending_licensed_jcr_lookup
Biochemical and biophysical research communications,8,2026,2026,JIF,,,,,pending_licensed_jcr_lookup
Biomaterials,8,2026,2026,JIF,,,,,pending_licensed_jcr_lookup
Cellular and molecular life sciences : CMLS,8,2025,2026,JIF,,,,,pending_licensed_jcr_lookup
Frontiers in oncology,8,2025,2026,JIF,,,,,pending_licensed_jcr_lookup
Life sciences,8,2026,2026,JIF,,,,,pending_licensed_jcr_lookup
PloS one,8,2026,2026,JIF,,,,,pending_licensed_jcr_lookup
Stem cell reports,8,2026,2026,JIF,,,,,pending_licensed_jcr_lookup
The Journal of physiology,8,2025,2026,JIF,,,,,pending_licensed_jcr_lookup
Biochemical pharmacology,7,2026,2026,JIF,,,,,pending_licensed_jcr_lookup
Biomaterials science,7,2026,2026,JIF,,,,,pending_licensed_jcr_lookup
FASEB journal : official publication of the Federation of American Societies for Experimental Biology,7,2026,2026,JIF,,,,,pending_licensed_jcr_lookup
International journal of biological macromolecules,7,2026,2026,JIF,,,,,pending_licensed_jcr_lookup
Investigative ophthalmology & visual science,7,2025,2026,JIF,,,,,pending_licensed_jcr_lookup
Molecular biology reports,7,2025,2026,JIF,,,,,pending_licensed_jcr_lookup
Proceedings of the National Academy of Sciences of the United States of America,7,2025,2026,JIF,,,,,pending_licensed_jcr_lookup
Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie,6,2025,2026,JIF,,,,,pending_licensed_jcr_lookup
Cancer letters,6,2026,2026,JIF,,,,,pending_licensed_jcr_lookup
Cancer research,6,2025,2026,JIF,,,,,pending_licensed_jcr_lookup
Cell communication and signaling : CCS,6,2026,2026,JIF,,,,,pending_licensed_jcr_lookup
Cellular signalling,6,2026,2026,JIF,,,,,pending_licensed_jcr_lookup
Communications biology,6,2025,2026,JIF,,,,,pending_licensed_jcr_lookup
Discover oncology,6,2026,2026,JIF,,,,,pending_licensed_jcr_lookup
Glia,6,2026,2026,JIF,,,,,pending_licensed_jcr_lookup
International journal of biological sciences,6,2026,2026,JIF,,,,,pending_licensed_jcr_lookup
JCI insight,6,2026,2026,JIF,,,,,pending_licensed_jcr_lookup
Oncogene,6,2025,2026,JIF,,,,,pending_licensed_jcr_lookup
Phytomedicine : international journal of phytotherapy and phytopharmacology,6,2026,2026,JIF,,,,,pending_licensed_jcr_lookup
Stem cell reviews and reports,6,2026,2026,JIF,,,,,pending_licensed_jcr_lookup
"Stem cells (Dayton, Ohio)",6,2025,2026,JIF,,,,,pending_licensed_jcr_lookup
Advanced healthcare materials,5,2025,2026,JIF,,,,,pending_licensed_jcr_lookup
"Arteriosclerosis, thrombosis, and vascular biology",5,2026,2026,JIF,,,,,pending_licensed_jcr_lookup
Biochimica et biophysica acta. Molecular basis of disease,5,2026,2026,JIF,,,,,pending_licensed_jcr_lookup
Biomedicines,5,2026,2026,JIF,,,,,pending_licensed_jcr_lookup
Chemico-biological interactions,5,2026,2026,JIF,,,,,pending_licensed_jcr_lookup
EMBO reports,5,2026,2026,JIF,,,,,pending_licensed_jcr_lookup
Experimental eye research,5,2026,2026,JIF,,,,,pending_licensed_jcr_lookup
