journal,candidate_count,earliest_year,latest_year,metric_name,metric_value,metric_year,metric_source,verified_at,status
Nature communications,50,2023,2026,JIF,,,,,pending_licensed_jcr_lookup
Acta biomaterialia,34,2024,2026,JIF,,,,,pending_licensed_jcr_lookup
"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",33,2025,2026,JIF,,,,,pending_licensed_jcr_lookup
Scientific reports,32,2024,2026,JIF,,,,,pending_licensed_jcr_lookup
Proceedings of the National Academy of Sciences of the United States of America,29,2024,2026,JIF,,,,,pending_licensed_jcr_lookup
Science advances,25,2023,2026,JIF,,,,,pending_licensed_jcr_lookup
Current biology : CB,22,2024,2026,JIF,,,,,pending_licensed_jcr_lookup
Journal of cell science,21,2023,2026,JIF,,,,,pending_licensed_jcr_lookup
International journal of molecular sciences,20,2025,2026,JIF,,,,,pending_licensed_jcr_lookup
ACS nano,19,2024,2026,JIF,,,,,pending_licensed_jcr_lookup
Biophysical journal,19,2023,2026,JIF,,,,,pending_licensed_jcr_lookup
Frontiers in immunology,18,2025,2026,JIF,,,,,pending_licensed_jcr_lookup
Cells,16,2025,2026,JIF,,,,,pending_licensed_jcr_lookup
Biomaterials,15,2023,2026,JIF,,,,,pending_licensed_jcr_lookup
Cell reports,14,2023,2026,JIF,,,,,pending_licensed_jcr_lookup
Frontiers in cell and developmental biology,14,2022,2026,JIF,,,,,pending_licensed_jcr_lookup
Journal of visualized experiments : JoVE,14,2024,2026,JIF,,,,,pending_licensed_jcr_lookup
Journal of translational medicine,13,2026,2026,JIF,,,,,pending_licensed_jcr_lookup
Lab on a chip,13,2023,2026,JIF,,,,,pending_licensed_jcr_lookup
Bioactive materials,12,2024,2026,JIF,,,,,pending_licensed_jcr_lookup
Materials today. Bio,12,2025,2026,JIF,,,,,pending_licensed_jcr_lookup
"Advanced materials (Deerfield Beach, Fla.)",11,2025,2026,JIF,,,,,pending_licensed_jcr_lookup
Biochemical and biophysical research communications,11,2022,2026,JIF,,,,,pending_licensed_jcr_lookup
Biomaterials science,11,2025,2026,JIF,,,,,pending_licensed_jcr_lookup
Communications biology,11,2024,2026,JIF,,,,,pending_licensed_jcr_lookup
Current opinion in cell biology,11,2023,2026,JIF,,,,,pending_licensed_jcr_lookup
Developmental cell,11,2024,2026,JIF,,,,,pending_licensed_jcr_lookup
"Small (Weinheim an der Bergstrasse, Germany)",11,2024,2026,JIF,,,,,pending_licensed_jcr_lookup
Soft matter,11,2024,2026,JIF,,,,,pending_licensed_jcr_lookup
iScience,11,2023,2026,JIF,,,,,pending_licensed_jcr_lookup
Advanced healthcare materials,10,2025,2026,JIF,,,,,pending_licensed_jcr_lookup
Molecular biology of the cell,10,2025,2026,JIF,,,,,pending_licensed_jcr_lookup
The Journal of cell biology,10,2024,2026,JIF,,,,,pending_licensed_jcr_lookup
ACS biomaterials science & engineering,9,2024,2026,JIF,,,,,pending_licensed_jcr_lookup
Cell communication and signaling : CCS,9,2025,2026,JIF,,,,,pending_licensed_jcr_lookup
ACS omega,8,2025,2026,JIF,,,,,pending_licensed_jcr_lookup
Biofabrication,8,2025,2026,JIF,,,,,pending_licensed_jcr_lookup
International journal of biological macromolecules,8,2025,2026,JIF,,,,,pending_licensed_jcr_lookup
"Methods in molecular biology (Clifton, N.J.)",8,2024,2026,JIF,,,,,pending_licensed_jcr_lookup
Seminars in cell & developmental biology,8,2022,2026,JIF,,,,,pending_licensed_jcr_lookup
ACS applied materials & interfaces,7,2023,2026,JIF,,,,,pending_licensed_jcr_lookup
Cellular and molecular bioengineering,7,2024,2026,JIF,,,,,pending_licensed_jcr_lookup
"Development (Cambridge, England)",7,2023,2026,JIF,,,,,pending_licensed_jcr_lookup
Frontiers in physiology,7,2024,2026,JIF,,,,,pending_licensed_jcr_lookup
Journal of biomechanics,7,2025,2026,JIF,,,,,pending_licensed_jcr_lookup
Journal of nanobiotechnology,7,2025,2026,JIF,,,,,pending_licensed_jcr_lookup
Langmuir : the ACS journal of surfaces and colloids,7,2024,2026,JIF,,,,,pending_licensed_jcr_lookup
Molecular biology reports,7,2025,2026,JIF,,,,,pending_licensed_jcr_lookup
Oncogene,7,2026,2026,JIF,,,,,pending_licensed_jcr_lookup
PLoS computational biology,7,2023,2026,JIF,,,,,pending_licensed_jcr_lookup
eLife,7,2024,2026,JIF,,,,,pending_licensed_jcr_lookup
Biomaterials advances,6,2026,2026,JIF,,,,,pending_licensed_jcr_lookup
Biomechanics and modeling in mechanobiology,6,2025,2026,JIF,,,,,pending_licensed_jcr_lookup
Biomedicines,6,2024,2026,JIF,,,,,pending_licensed_jcr_lookup
Biomolecules,6,2025,2026,JIF,,,,,pending_licensed_jcr_lookup
