journal,candidate_count,earliest_year,latest_year,metric_name,metric_value,metric_year,metric_source,verified_at,status
Biophysical journal,72,2010,2021,JIF,,,,,pending_licensed_jcr_lookup
PloS one,68,2010,2019,JIF,,,,,pending_licensed_jcr_lookup
Scientific reports,51,2013,2021,JIF,,,,,pending_licensed_jcr_lookup
Proceedings of the National Academy of Sciences of the United States of America,37,2010,2021,JIF,,,,,pending_licensed_jcr_lookup
Journal of cell science,32,2010,2021,JIF,,,,,pending_licensed_jcr_lookup
Biomaterials,25,2010,2021,JIF,,,,,pending_licensed_jcr_lookup
Nature communications,25,2010,2021,JIF,,,,,pending_licensed_jcr_lookup
Journal of biomechanics,23,2010,2020,JIF,,,,,pending_licensed_jcr_lookup
International journal of molecular sciences,22,2011,2021,JIF,,,,,pending_licensed_jcr_lookup
Biochimica et biophysica acta,20,2011,2016,JIF,,,,,pending_licensed_jcr_lookup
The Journal of cell biology,20,2010,2021,JIF,,,,,pending_licensed_jcr_lookup
Frontiers in cell and developmental biology,19,2017,2021,JIF,,,,,pending_licensed_jcr_lookup
Molecular biology of the cell,19,2011,2021,JIF,,,,,pending_licensed_jcr_lookup
Cells,18,2016,2021,JIF,,,,,pending_licensed_jcr_lookup
Soft matter,17,2014,2020,JIF,,,,,pending_licensed_jcr_lookup
ACS applied materials & interfaces,16,2014,2021,JIF,,,,,pending_licensed_jcr_lookup
Journal of visualized experiments : JoVE,16,2010,2021,JIF,,,,,pending_licensed_jcr_lookup
"Methods in molecular biology (Clifton, N.J.)",16,2011,2019,JIF,,,,,pending_licensed_jcr_lookup
Current biology : CB,15,2011,2018,JIF,,,,,pending_licensed_jcr_lookup
Current opinion in cell biology,15,2011,2020,JIF,,,,,pending_licensed_jcr_lookup
Experimental cell research,15,2012,2019,JIF,,,,,pending_licensed_jcr_lookup
Integrative biology : quantitative biosciences from nano to macro,15,2010,2016,JIF,,,,,pending_licensed_jcr_lookup
Advances in experimental medicine and biology,14,2010,2021,JIF,,,,,pending_licensed_jcr_lookup
"Cytoskeleton (Hoboken, N.J.)",14,2011,2021,JIF,,,,,pending_licensed_jcr_lookup
Nano letters,14,2010,2021,JIF,,,,,pending_licensed_jcr_lookup
Nature cell biology,14,2011,2021,JIF,,,,,pending_licensed_jcr_lookup
Frontiers in physiology,13,2012,2021,JIF,,,,,pending_licensed_jcr_lookup
Nature reviews. Molecular cell biology,13,2010,2017,JIF,,,,,pending_licensed_jcr_lookup
Acta biomaterialia,12,2012,2020,JIF,,,,,pending_licensed_jcr_lookup
Cellular and molecular bioengineering,12,2010,2018,JIF,,,,,pending_licensed_jcr_lookup
Frontiers in bioengineering and biotechnology,12,2016,2021,JIF,,,,,pending_licensed_jcr_lookup
Biophysical reviews,11,2011,2021,JIF,,,,,pending_licensed_jcr_lookup
Developmental cell,11,2010,2021,JIF,,,,,pending_licensed_jcr_lookup
Journal of biomechanical engineering,11,2013,2021,JIF,,,,,pending_licensed_jcr_lookup
Methods in cell biology,11,2010,2018,JIF,,,,,pending_licensed_jcr_lookup
Trends in cell biology,10,2011,2020,JIF,,,,,pending_licensed_jcr_lookup
eLife,10,2014,2021,JIF,,,,,pending_licensed_jcr_lookup
ACS nano,9,2013,2020,JIF,,,,,pending_licensed_jcr_lookup
Biochemical and biophysical research communications,9,2011,2020,JIF,,,,,pending_licensed_jcr_lookup
Biomechanics and modeling in mechanobiology,9,2010,2021,JIF,,,,,pending_licensed_jcr_lookup
Lab on a chip,9,2012,2021,JIF,,,,,pending_licensed_jcr_lookup
Langmuir : the ACS journal of surfaces and colloids,9,2010,2018,JIF,,,,,pending_licensed_jcr_lookup
Nanoscale,9,2011,2020,JIF,,,,,pending_licensed_jcr_lookup
Nanotechnology,9,2010,2012,JIF,,,,,pending_licensed_jcr_lookup
Nature,9,2010,2019,JIF,,,,,pending_licensed_jcr_lookup
Physical biology,9,2011,2021,JIF,,,,,pending_licensed_jcr_lookup
The Review of scientific instruments,9,2010,2021,JIF,,,,,pending_licensed_jcr_lookup
ACS biomaterials science & engineering,8,2015,2021,JIF,,,,,pending_licensed_jcr_lookup
APL bioengineering,8,2018,2021,JIF,,,,,pending_licensed_jcr_lookup
Cell,8,2011,2018,JIF,,,,,pending_licensed_jcr_lookup
Journal of cellular and molecular medicine,8,2013,2021,JIF,,,,,pending_licensed_jcr_lookup
Journal of nanoscience and nanotechnology,8,2010,2011,JIF,,,,,pending_licensed_jcr_lookup
Journal of the mechanical behavior of biomedical materials,8,2010,2018,JIF,,,,,pending_licensed_jcr_lookup
"Micron (Oxford, England : 1993)",8,2012,2021,JIF,,,,,pending_licensed_jcr_lookup
"Small (Weinheim an der Bergstrasse, Germany)",8,2010,2021,JIF,,,,,pending_licensed_jcr_lookup
The Journal of biological chemistry,8,2010,2016,JIF,,,,,pending_licensed_jcr_lookup
Advanced healthcare materials,7,2015,2021,JIF,,,,,pending_licensed_jcr_lookup
Biomedical microdevices,7,2010,2021,JIF,,,,,pending_licensed_jcr_lookup
Cell biology international,7,2012,2018,JIF,,,,,pending_licensed_jcr_lookup
"Journal of the Royal Society, Interface",7,2010,2019,JIF,,,,,pending_licensed_jcr_lookup
Nature materials,7,2014,2020,JIF,,,,,pending_licensed_jcr_lookup
Scanning,7,2010,2016,JIF,,,,,pending_licensed_jcr_lookup
Sheng wu yi xue gong cheng xue za zhi = Journal of biomedical engineering = Shengwu yixue gongchengxue zazhi,7,2010,2018,JIF,,,,,pending_licensed_jcr_lookup
Ultramicroscopy,7,2010,2015,JIF,,,,,pending_licensed_jcr_lookup
Annals of biomedical engineering,6,2010,2018,JIF,,,,,pending_licensed_jcr_lookup
Annual review of biomedical engineering,6,2010,2020,JIF,,,,,pending_licensed_jcr_lookup
