journal,jcr_title,candidate_count,earliest_year,latest_year,metric_name,metric_value,metric_year,metric_source,verified_at,verification_status,verification_note,authority_status
Scientific reports,Scientific Reports,41,2024,2026,JIF,4.9,2025,https://jcr.clarivate.com/jcr-jp/journal-profile?journal=SCI%20REP-UK&year=2025&fromPage=%2Fjcr%2Fsearch-results,2026-08-05,verified_licensed_jcr,Clarivate JCR 2025 metrics; dataset updated 2026-06-17,proposed
Biophysical journal,BIOPHYSICAL JOURNAL,38,2023,2026,JIF,3.7,2025,https://jcr.clarivate.com/jcr-jp/journal-profile?journal=BIOPHYS%20J&year=2025&fromPage=%2Fjcr%2Fsearch-results,2026-08-05,verified_licensed_jcr,Clarivate JCR 2025 metrics; dataset updated 2026-06-17,proposed
Nature communications,Nature Communications,37,2020,2026,JIF,18.1,2025,https://jcr.clarivate.com/jcr-jp/journal-profile?journal=NAT%20COMMUN&year=2025&fromPage=%2Fjcr%2Fsearch-results,2026-08-05,verified_licensed_jcr,Clarivate JCR 2025 metrics; dataset updated 2026-06-17,proposed
International journal of molecular sciences,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,23,2021,2026,JIF,5.6,2025,https://jcr.clarivate.com/jcr-jp/journal-profile?journal=INT%20J%20MOL%20SCI&year=2025&fromPage=%2Fjcr%2Fsearch-results,2026-08-05,verified_licensed_jcr,Clarivate JCR 2025 metrics; dataset updated 2026-06-17,proposed
Acta biomaterialia,Acta Biomaterialia,21,2023,2026,JIF,10.4,2025,https://jcr.clarivate.com/jcr-jp/journal-profile?journal=ACTA%20BIOMATER&year=2025&fromPage=%2Fjcr%2Fsearch-results,2026-08-05,verified_licensed_jcr,Clarivate JCR 2025 metrics; dataset updated 2026-06-17,proposed
"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",Advanced Science,21,2024,2026,JIF,14.1,2025,https://jcr.clarivate.com/jcr-jp/journal-profile?journal=ADV%20SCI&year=2025&fromPage=%2Fjcr%2Fsearch-results,2026-08-05,verified_licensed_jcr,Clarivate JCR 2025 metrics; dataset updated 2026-06-17,proposed
Proceedings of the National Academy of Sciences of the United States of America,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,21,2023,2026,JIF,9.5,2025,https://jcr.clarivate.com/jcr-jp/journal-profile?journal=P%20NATL%20ACAD%20SCI%20USA&year=2025&fromPage=%2Fjcr%2Fsearch-results,2026-08-05,verified_licensed_jcr,Clarivate JCR 2025 metrics; dataset updated 2026-06-17,proposed
PLoS computational biology,PLoS Computational Biology,16,2021,2026,JIF,3.7,2025,https://jcr.clarivate.com/jcr-jp/journal-profile?journal=PLOS%20COMPUT%20BIOL&year=2025&fromPage=%2Fjcr%2Fsearch-results,2026-08-05,verified_licensed_jcr,Clarivate JCR 2025 metrics; dataset updated 2026-06-17,proposed
Frontiers in cell and developmental biology,Frontiers in Cell and Developmental Biology,13,2021,2026,JIF,5.3,2025,https://jcr.clarivate.com/jcr-jp/journal-profile?journal=FRONT%20CELL%20DEV%20BIOL&year=2025&fromPage=%2Fjcr%2Fsearch-results,2026-08-05,verified_licensed_jcr,Clarivate JCR 2025 metrics; dataset updated 2026-06-17,proposed
Cell reports,Cell Reports,12,2023,2026,JIF,7.7,2025,https://jcr.clarivate.com/jcr-jp/journal-profile?journal=CELL%20REP&year=2025&fromPage=%2Fjcr%2Fsearch-results,2026-08-05,verified_licensed_jcr,Clarivate JCR 2025 metrics; dataset updated 2026-06-17,proposed
