rank,source_family_id,pmcid,decision,exception_reason,priority_score,missing_review_fields,observation_locator_count,cell_state_tags,modality_tags,mechanics_tags
1,doi:10.1002/adhm.202500914,PMC12805617,manual_priority,NONE,23,affiliation_resolved_lab_group;independent_replication_check,10,cancer_tumor;differentiating;epithelial;stem_progenitor,afm;immunofluorescence;pcr;piv;traction_force_microscopy;western_blot,cell_volume;stiffness_modulus;traction_force
2,doi:10.1002/adma.202518382,PMC13054206,manual_priority,NONE,23,affiliation_resolved_lab_group;correction_retraction_check;independent_replication_check,5,fibroblast;immune,immunofluorescence,membrane_tension;stiffness_modulus;strain_deformation;viscosity_viscoelasticity
3,doi:10.1002/advs.202414750,PMC12407281,manual_priority,NONE,23,affiliation_resolved_lab_group;correction_retraction_check;independent_replication_check,7,cancer_tumor;differentiating;fibroblast;stem_progenitor,afm;immunofluorescence;pcr;western_blot,stiffness_modulus;strain_deformation;viscosity_viscoelasticity
4,doi:10.1002/advs.202511538,PMC12915213,manual_priority,NONE,23,affiliation_resolved_lab_group;independent_replication_check,4,fibroblast,afm;magnetic_tweezers;optical_tweezers;traction_force_microscopy,stiffness_modulus;strain_deformation;traction_force
5,doi:10.1002/advs.202513153,PMC12822390,manual_priority,NONE,23,affiliation_resolved_lab_group;correction_retraction_check;independent_replication_check,9,cancer_tumor;epithelial;migrating,flow_cytometry;immunofluorescence;optical_tweezers;western_blot,cell_volume;cortical_tension;stiffness_modulus;strain_deformation;viscosity_viscoelasticity
6,doi:10.1002/advs.202524337,PMC13248770,manual_priority,NONE,23,affiliation_resolved_lab_group;independent_replication_check,6,cancer_tumor;differentiating;epithelial,immunofluorescence;piv,stiffness_modulus;viscosity_viscoelasticity
7,doi:10.1002/cbic.202500864,PMC13096856,manual_priority,NONE,23,affiliation_resolved_lab_group;correction_retraction_check;independent_replication_check,5,differentiating;immune;migrating;stem_progenitor,flow_cytometry,stiffness_modulus;strain_deformation;viscosity_viscoelasticity
8,doi:10.1002/glia.24156,PMC9304177,manual_priority,NONE,23,affiliation_resolved_lab_group;correction_retraction_check;independent_replication_check,7,immune;migrating;neural,pcr,cell_volume;migration_speed
9,doi:10.1002/smll.202503011,PMC12462601,manual_priority,NONE,23,affiliation_resolved_lab_group;correction_retraction_check;independent_replication_check,5,differentiating;muscle;neural;stem_progenitor,immunofluorescence,strain_deformation
10,doi:10.1002/smll.202504526,PMC12590530,manual_priority,NONE,23,affiliation_resolved_lab_group;correction_retraction_check;independent_replication_check,4,differentiating;fibroblast;muscle,afm;traction_force_microscopy,stiffness_modulus;traction_force
11,doi:10.1002/smll.202512198,PMC13054210,manual_priority,NONE,23,affiliation_resolved_lab_group;correction_retraction_check;independent_replication_check,5,fibroblast;migrating,afm;immunofluorescence,stiffness_modulus;traction_force
12,doi:10.1016/j.isci.2025.112955,PMC12302250,manual_priority,NONE,23,affiliation_resolved_lab_group;independent_replication_check,14,apoptotic;cancer_tumor;differentiating;epithelial;migrating;mitotic,afm;immunofluorescence;live_cell_imaging,stiffness_modulus;strain_deformation
13,doi:10.1016/j.mtbio.2026.103105,PMC13123377,manual_priority,NONE,23,affiliation_resolved_lab_group;correction_retraction_check;independent_replication_check,8,differentiating;epithelial;migrating,immunofluorescence;live_cell_imaging;traction_force_microscopy,migration_speed;stiffness_modulus;strain_deformation;traction_force
14,doi:10.1016/j.mtbio.2026.103129,PMC13141807,manual_priority,NONE,23,affiliation_resolved_lab_group;correction_retraction_check;independent_replication_check,12,cancer_tumor;differentiating;migrating;stem_progenitor,immunofluorescence;pcr,membrane_tension;viscosity_viscoelasticity
15,doi:10.1038/ncb3537,PMC5494977,manual_priority,NONE,23,affiliation_resolved_lab_group;correction_retraction_check;independent_replication_check,5,epithelial,immunofluorescence;western_blot,viscosity_viscoelasticity
16,doi:10.1038/ncomms15321,PMC5440673,manual_priority,NONE,23,affiliation_resolved_lab_group;correction_retraction_check;independent_replication_check,7,differentiating;migrating,afm;flow_cytometry;immunofluorescence;western_blot,stiffness_modulus
17,doi:10.1038/s41467-024-49755-3,PMC11208611,manual_priority,NONE,23,affiliation_resolved_lab_group;independent_replication_check,11,differentiating;muscle;stem_progenitor,flow_cytometry;traction_force_microscopy,strain_deformation;traction_force
18,doi:10.1038/s41467-024-53228-y,PMC11551154,manual_priority,NONE,23,affiliation_resolved_lab_group;correction_retraction_check;independent_replication_check,10,migrating;mitotic,piv,cortical_tension;membrane_tension;strain_deformation;viscosity_viscoelasticity
19,doi:10.1038/s41467-025-56941-4,PMC11822051,manual_priority,NONE,23,affiliation_resolved_lab_group;independent_replication_check,10,epithelial;migrating;mitotic,afm;flow_cytometry;immunofluorescence;pcr;piv;western_blot,membrane_tension;migration_speed;strain_deformation
20,doi:10.1038/s41467-025-57428-y,PMC11906862,manual_priority,NONE,23,affiliation_resolved_lab_group;correction_retraction_check;independent_replication_check,6,apoptotic;epithelial;migrating;muscle,afm;flow_cytometry;immunofluorescence;western_blot,cortical_tension;strain_deformation;viscosity_viscoelasticity
21,doi:10.1038/s41467-025-61787-x,PMC12310956,manual_priority,NONE,23,affiliation_resolved_lab_group;correction_retraction_check;independent_replication_check,7,apoptotic;cancer_tumor;epithelial;migrating;mitotic,immunofluorescence;live_cell_imaging;western_blot,strain_deformation
22,doi:10.1038/s41467-025-66789-3,PMC12698700,manual_priority,NONE,23,affiliation_resolved_lab_group;independent_replication_check,5,apoptotic;cancer_tumor;differentiating;immune,flow_cytometry;live_cell_imaging;pcr;western_blot,membrane_tension;stiffness_modulus;strain_deformation
23,doi:10.1038/s41467-026-71194-5,PMC13194945,manual_priority,NONE,23,affiliation_resolved_lab_group;independent_replication_check,15,apoptotic;differentiating;immune;stem_progenitor,flow_cytometry;pcr,membrane_tension
24,doi:10.1038/s41467-026-71525-6,PMC13261106,manual_priority,NONE,23,affiliation_resolved_lab_group;correction_retraction_check;independent_replication_check,5,apoptotic;differentiating;epithelial;immune;neural;stem_progenitor,immunofluorescence;single_cell_sequencing,strain_deformation
25,doi:10.1038/s41556-025-01767-x,PMC12527910,manual_priority,NONE,23,affiliation_resolved_lab_group;independent_replication_check,16,apoptotic;differentiating;mitotic;stem_progenitor,afm;flow_cytometry;immunofluorescence;pcr;single_cell_sequencing,stiffness_modulus;strain_deformation;viscosity_viscoelasticity
26,doi:10.1038/s41556-025-01807-6,PMC12716991,manual_priority,NONE,23,affiliation_resolved_lab_group;independent_replication_check,15,apoptotic;cancer_tumor;immune;neural,flow_cytometry;micropipette_aspiration,cortical_tension;membrane_tension;strain_deformation
27,doi:10.1038/s41556-025-01820-9,PMC12807876,manual_priority,NONE,23,affiliation_resolved_lab_group;correction_retraction_check;independent_replication_check,16,differentiating;epithelial;immune;mitotic,flow_cytometry;micropipette_aspiration,cell_volume;membrane_tension;strain_deformation
28,doi:10.1038/s41563-025-02463-9,PMC13046474,manual_priority,NONE,23,affiliation_resolved_lab_group;correction_retraction_check;independent_replication_check,16,epithelial;migrating;stem_progenitor,afm;immunofluorescence;piv;traction_force_microscopy;western_blot,stiffness_modulus;strain_deformation;traction_force;viscosity_viscoelasticity
29,doi:10.1038/s41563-025-02473-7,PMC13143829,manual_priority,NONE,23,affiliation_resolved_lab_group;correction_retraction_check;independent_replication_check,23,cancer_tumor;epithelial;immune;migrating,afm;immunofluorescence;live_cell_imaging;piv;western_blot,stiffness_modulus;strain_deformation;viscosity_viscoelasticity
30,doi:10.1038/s41598-024-80837-w,PMC11680690,manual_priority,NONE,23,affiliation_resolved_lab_group;correction_retraction_check;independent_replication_check,7,cancer_tumor;differentiating;fibroblast;immune;migrating,afm;immunofluorescence;pcr;western_blot,stiffness_modulus;strain_deformation
31,doi:10.1038/s42003-025-09142-0,PMC12678835,manual_priority,NONE,23,affiliation_resolved_lab_group;correction_retraction_check;independent_replication_check,8,differentiating,afm,stiffness_modulus;strain_deformation;viscosity_viscoelasticity
