rank,source_family_id,pmcid,decision,exception_reason,priority_score,missing_review_fields,observation_locator_count,cell_state_tags,modality_tags,mechanics_tags
1,doi:10.1002/advs.202410052,PMC11923911,manual_priority,NONE,23,affiliation_resolved_lab_group;correction_retraction_check;independent_replication_check,7,cancer_tumor;epithelial;migrating,afm;flow_cytometry;live_cell_imaging;magnetic_tweezers;micropipette_aspiration,migration_speed;stiffness_modulus;strain_deformation
2,doi:10.1002/ctm2.70703,PMC13239690,manual_priority,NONE,23,affiliation_resolved_lab_group;correction_retraction_check;independent_replication_check,7,differentiating;immune,flow_cytometry;immunofluorescence;pcr;western_blot,strain_deformation
3,doi:10.1016/j.cell.2020.03.052,PMC7237863,manual_priority,NONE,23,affiliation_resolved_lab_group;correction_retraction_check;independent_replication_check,24,apoptotic;cancer_tumor;differentiating;epithelial;mitotic;stem_progenitor,afm;flow_cytometry;immunofluorescence;pcr;western_blot,membrane_tension;stiffness_modulus;strain_deformation
4,doi:10.1016/j.cell.2021.02.017,PMC8055543,manual_priority,NONE,23,affiliation_resolved_lab_group;correction_retraction_check;independent_replication_check,26,epithelial;migrating;mitotic;stem_progenitor,immunofluorescence;micropipette_aspiration,cell_volume;stiffness_modulus;strain_deformation;viscosity_viscoelasticity
5,doi:10.1016/j.devcel.2019.12.011,PMC6983945,manual_priority,NONE,23,affiliation_resolved_lab_group;correction_retraction_check;independent_replication_check,7,epithelial;migrating;mitotic,afm;immunofluorescence;live_cell_imaging;pcr;western_blot,cortical_tension;membrane_tension;viscosity_viscoelasticity
6,doi:10.1016/j.isci.2023.106657,PMC10164898,manual_priority,NONE,23,affiliation_resolved_lab_group;correction_retraction_check;independent_replication_check,7,differentiating;epithelial;fibroblast;migrating;stem_progenitor,immunofluorescence,stiffness_modulus
7,doi:10.1016/j.mtbio.2025.102472,PMC12621461,manual_priority,NONE,23,affiliation_resolved_lab_group;correction_retraction_check;independent_replication_check,8,fibroblast;migrating,afm;immunofluorescence;western_blot,stiffness_modulus;strain_deformation
8,doi:10.1038/s41467-021-26611-2,PMC8586027,manual_priority,NONE,23,affiliation_resolved_lab_group;correction_retraction_check;independent_replication_check,6,mitotic,afm;western_blot,cell_volume;cortical_tension;membrane_tension
9,doi:10.1038/s41467-025-60515-9,PMC12216642,manual_priority,NONE,23,affiliation_resolved_lab_group;correction_retraction_check;independent_replication_check,7,differentiating;immune;migrating;muscle;stem_progenitor,flow_cytometry;immunofluorescence;pcr;single_cell_sequencing;western_blot,strain_deformation;viscosity_viscoelasticity
10,doi:10.1038/s41467-025-60760-y,PMC12254341,manual_priority,NONE,23,affiliation_resolved_lab_group;correction_retraction_check;independent_replication_check,5,differentiating;immune;migrating;stem_progenitor,afm;immunofluorescence;micropipette_aspiration;single_cell_sequencing;western_blot,stiffness_modulus;strain_deformation
