Frame,Time_min,model_choice,used_thresh,review_mode,filename,Area_um2,Area_px,Perimeter_px,Solidity,Circularity,A0_um2,A_over_A0,EffectiveRadius_um,Series
0,0,saved,saved,reconstructed_from_saved_mask,MD-Experiment-0004_Position(102)_t002.png,162214.7072,38675.0,749.8965293169022,0.989231634949867,0.8642462408549729,162214.7072,1.0,227.23235902082462,MD-Experiment-0004_Position(102)
1,60,saved,saved,reconstructed_from_saved_mask,MD-Experiment-0004_Position(102)_t005.png,219026.55487999998,52220.0,884.4061954021454,0.9792963768659515,0.838963716897609,162214.7072,1.3502262443438913,264.04226509231546,MD-Experiment-0004_Position(102)
2,120,saved,saved,reconstructed_from_saved_mask,MD-Experiment-0004_Position(102)_t008.png,260380.29516799998,62079.5,968.9331065416336,0.9796354741991479,0.8309415659474115,162214.7072,1.6051583710407238,287.89168470004114,MD-Experiment-0004_Position(102)
3,180,saved,saved,reconstructed_from_saved_mask,MD-Experiment-0004_Position(102)_t011.png,299995.49644799996,71524.5,1034.6732218265533,0.9797541180096572,0.8395726370840592,162214.7072,1.849372979961215,309.01704213523993,MD-Experiment-0004_Position(102)
4,240,saved,saved,reconstructed_from_saved_mask,MD-Experiment-0004_Position(102)_t014.png,337016.52070399997,80351.0,1100.0285609960556,0.9780474593601081,0.8344363747263495,162214.7072,2.0775953458306398,327.5296785748543,MD-Experiment-0004_Position(102)
5,300,saved,saved,reconstructed_from_saved_mask,MD-Experiment-0004_Position(102)_t017.png,369193.12383999996,88022.5,1150.555474281311,0.9759782235084101,0.8355807706903635,162214.7072,2.275953458306399,342.8087239691378,MD-Experiment-0004_Position(102)
6,360,saved,saved,reconstructed_from_saved_mask,MD-Experiment-0004_Position(102)_t020.png,393339.731968,93779.5,1186.8397439718246,0.9796608044794284,0.8366303486646137,162214.7072,2.42480930833872,353.8416670126581,MD-Experiment-0004_Position(102)
7,420,saved,saved,reconstructed_from_saved_mask,MD-Experiment-0004_Position(102)_t023.png,417777.844224,99606.0,1228.4549670219421,0.9780060090725212,0.8294245440045799,162214.7072,2.5754621848739494,364.6680929901201,MD-Experiment-0004_Position(102)
8,480,saved,saved,reconstructed_from_saved_mask,MD-Experiment-0004_Position(102)_t026.png,442541.01503999997,105510.0,1260.7981127500534,0.9794202010638001,0.834088986924142,162214.7072,2.7281189398836454,375.32010355034487,MD-Experiment-0004_Position(102)
9,540,saved,saved,reconstructed_from_saved_mask,MD-Experiment-0004_Position(102)_t029.png,464523.36230399995,110751.0,1287.6265394687653,0.9805398896847249,0.8394168474995443,162214.7072,2.8636328377504845,384.52877471614266,MD-Experiment-0004_Position(102)
10,600,saved,saved,reconstructed_from_saved_mask,MD-Experiment-0004_Position(102)_t032.png,485884.95257599995,115844.0,1309.4255307912827,0.9803538257782517,0.8490275838198509,162214.7072,2.995319974143503,393.2708785975426,MD-Experiment-0004_Position(102)
11,660,saved,saved,reconstructed_from_saved_mask,MD-Experiment-0004_Position(102)_t035.png,510977.37625599996,121826.5,1344.981877207756,0.9797261706105873,0.8462891370937499,162214.7072,3.150006464124111,403.2978433844388,MD-Experiment-0004_Position(102)
12,720,saved,saved,reconstructed_from_saved_mask,MD-Experiment-0004_Position(102)_t038.png,526271.905792,125473.0,1366.396092414856,0.9797679285357321,0.8445141354795285,162214.7072,3.2442921784098253,409.2890793001667,MD-Experiment-0004_Position(102)
13,780,saved,saved,reconstructed_from_saved_mask,MD-Experiment-0004_Position(102)_t041.png,543351.11168,129545.0,1392.8224979639053,0.9796314991473739,0.8391487904203292,162214.7072,3.3495798319327728,415.8774224656791,MD-Experiment-0004_Position(102)
