Frame,Time_min,model_choice,used_thresh,review_mode,filename,Area_um2,Area_px,Perimeter_px,Solidity,Circularity,A0_um2,A_over_A0,EffectiveRadius_um,Series
0,0,saved,saved,reconstructed_from_saved_mask,MD-Experiment-0004_Position(10)_t001.png,204304.54783999998,48710.0,862.4650719165802,0.979548333903111,0.8228960193349926,204304.54783999998,1.0,255.0140336722299,Position(10)
1,60,saved,saved,reconstructed_from_saved_mask,MD-Experiment-0004_Position(10)_t002.png,220708.47078399998,52621.0,895.9209126234055,0.9766241961377493,0.8238148439458117,204304.54783999998,1.0802915212482036,265.0541231806318,Position(10)
2,120,saved,saved,reconstructed_from_saved_mask,MD-Experiment-0004_Position(10)_t005.png,285447.55302399996,68056.0,1007.5188952684402,0.9818152965022758,0.8424999510279524,204304.54783999998,1.3971669061794292,301.43121622438343,Position(10)
3,180,saved,saved,reconstructed_from_saved_mask,MD-Experiment-0004_Position(10)_t008.png,327071.82592,77980.0,1091.4011437892914,0.9717133956386292,0.8226673960628774,204304.54783999998,1.600903305276124,322.66111585147627,Position(10)
4,240,saved,saved,reconstructed_from_saved_mask,MD-Experiment-0004_Position(10)_t011.png,354978.627584,84633.5,1131.7859206199646,0.9785690334963636,0.8302781163608575,204304.54783999998,1.7374974337918294,336.1446214710883,Position(10)
5,300,saved,saved,reconstructed_from_saved_mask,MD-Experiment-0004_Position(10)_t014.png,394335.87916799996,94017.0,1190.7392377853394,0.9793998614503956,0.8332645835114536,204304.54783999998,1.930137548757955,354.2894421460384,Position(10)
6,360,saved,saved,reconstructed_from_saved_mask,MD-Experiment-0004_Position(10)_t017.png,412432.203776,98331.5,1208.1534489393234,0.9825142508855282,0.8465611460885949,204304.54783999998,2.0187127899815236,362.32754220797034,Position(10)
7,420,saved,saved,reconstructed_from_saved_mask,MD-Experiment-0004_Position(10)_t020.png,432388.702208,103089.5,1237.1240129470825,0.986337216255651,0.846443206507085,204304.54783999998,2.1163929377951143,370.99002491574544,Position(10)
8,480,saved,saved,reconstructed_from_saved_mask,MD-Experiment-0004_Position(10)_t023.png,445760.14336,106277.5,1258.5798584222794,0.9842742103532746,0.8431204810372731,204304.54783999998,2.181841510983371,376.6827053345983,Position(10)
9,540,saved,saved,reconstructed_from_saved_mask,MD-Experiment-0004_Position(10)_t026.png,459901.239296,109649.0,1268.1950806379318,0.9894422436585784,0.8567269148222668,204304.54783999998,2.2510572777663724,382.61091350887267,Position(10)
10,600,saved,saved,reconstructed_from_saved_mask,MD-Experiment-0004_Position(10)_t029.png,476615.540736,113634.0,1290.136204123497,0.9879713956571826,0.8579204756479608,204304.54783999998,2.3328679942516937,389.5015257031762,Position(10)
