strain,F_plate_nN,dP_turgor_Pa,gamma_apparent_mN_m,V_over_V0,svm_p95_Pa,areal_strain_p95
0.0,0.01,36.4,0.14,1.0,0.0,0.0
0.03,13.93,1283.7,4.82,0.9983,16.0,0.018
0.06,102.98,4841.8,18.19,0.9935,58.0,0.164
0.09,331.97,10724.7,40.31,0.9858,127.0,0.581
0.12,800.52,18966.7,71.31,0.9752,227.0,1.332
0.15,1580.72,29645.7,111.5,0.962,360.0,2.464
0.18,2805.57,42654.7,160.5,0.9465,530.0,4.08
0.21,4560.76,58294.1,219.47,0.9289,748.0,6.247
0.24,6974.72,77636.7,292.49,0.9084,1024.0,9.083
0.27,10185.07,100530.1,379.04,0.8858,1379.0,12.691
